idx,latency_ms
579,1.647726
580,1.634189
581,1.631442
582,1.630532
583,1.614359
584,1.624348
585,1.625301
586,1.614170
587,1.619134
588,1.619403
589,1.644915
590,1.682477
591,1.676615
592,1.614594
593,1.614340
594,1.623132
595,1.639248
596,1.622416
597,1.624865
598,1.623376
599,1.622168
600,1.621209
601,1.625281
602,1.625598
603,1.622021
604,1.620015
605,1.623853
606,1.628887
607,1.716030
608,1.626976
609,1.617403
610,1.664484
611,1.629055
612,1.625391
613,1.617492
614,1.624930
615,1.618089
616,1.619946
617,1.628527
618,1.620999
619,1.627230
620,1.623302
621,1.627977
622,1.624584
623,1.629639
624,1.623565
625,1.621292
626,1.639456
627,1.638147
628,1.637471
629,1.625849
630,1.619630
631,1.615615
632,1.618530
633,1.614351
634,1.634446
635,1.621509
636,1.624625
637,1.622837
638,1.615083
639,1.622932
640,1.618420
641,1.618721
642,1.617097
643,1.627833
644,1.643938
645,1.625309
646,1.623580
647,1.629209
648,1.616249
649,1.617952
650,1.623907
651,1.616676
652,1.617888
653,1.622869
654,1.633614
655,1.624096
656,1.632084
657,1.635790
658,1.627265
659,1.623103
660,1.625720
661,1.623891
662,1.621715
663,1.628459
664,1.631747
665,1.622620
666,1.614627
667,1.623752
668,1.627296
669,1.629130
670,1.637865
671,1.642152
672,1.620829
673,1.626721
674,1.628851
675,1.626427
676,1.618306
677,1.624381
678,1.623027
679,1.628982
680,1.621850
681,1.639178
682,1.633968
683,1.626024
684,1.627447
685,1.626922
686,1.624346
687,1.626153
688,1.620215
689,1.650342
690,1.656393
691,1.627095
692,1.629278
693,1.630698
694,1.646513
695,1.633254
696,1.639518
697,1.624916
698,1.630041
699,1.657416
700,1.656710
701,1.636783
702,1.640142
703,1.640090
704,1.648857
705,1.628275
706,1.641647
707,1.634144
708,1.624054
709,1.622632
710,1.618408
711,1.623644
712,1.631485
713,1.618401
714,1.622557
715,1.617695
716,1.619424
717,1.625855
718,1.633252
719,1.631009
720,1.628737
721,1.624404
722,1.630394
723,1.621407
724,1.621198
725,1.633020
726,1.625750
727,1.639088
728,1.609433
729,1.616524
730,1.628395
731,1.633001
732,1.623111
733,1.636307
734,1.635181
735,1.623200
736,1.621406
737,1.617551
738,1.626425
739,1.627941
740,1.618786
741,1.625739
742,1.624394
743,1.625686
744,1.625155
745,1.635783
746,1.640067
747,1.630383
748,1.627470
749,1.639560
750,1.647851
751,1.639236
752,1.641723
753,1.633926
754,1.629234
755,1.627250
756,1.633133
757,1.631208
758,1.626727
759,1.628407
760,1.624784
761,1.633584
762,1.622300
763,1.623963
764,1.623854
765,1.625572
766,1.628344
767,1.619393
768,1.629465
769,1.629548
770,1.624574
771,1.625253
772,1.626739
773,1.622112
774,1.625965
775,1.626520
776,1.624557
777,1.622440
778,1.615875
779,1.627065
780,1.620594
781,1.629472
782,1.636887
783,1.623516
784,1.619206
785,1.615843
786,1.627130
787,1.616024
788,1.618915
789,1.625905
790,1.626123
791,1.632579
792,1.636760
793,1.629368
794,1.624605
795,1.627891
